x,y,z
0.129517,0.134949,0.439209
0.141968,0.130676,0.46582
0.13916,0.116394,0.485474
0.17334,0.130981,0.483643
0.177734,0.122925,0.526001
0.192993,0.125732,0.537598
0.208252,0.128479,0.549072
0.223633,0.131287,0.560669
0.238892,0.134094,0.572266
0.25415,0.136902,0.58374
0.269409,0.139648,0.595337
0.258179,0.134949,0.619385
0.231201,0.125854,0.613892
0.218628,0.142578,0.603149
0.208008,0.145142,0.574463
0.197388,0.147705,0.545654
0.195312,0.127441,0.541382
0.195801,0.14093,0.504761
0.219971,0.142273,0.508057
0.244141,0.143555,0.511475
0.268311,0.144897,0.514771
0.276001,0.14032,0.536743
0.283691,0.135803,0.558716
0.291382,0.131287,0.580688
0.299072,0.126709,0.602661
0.295654,0.111511,0.623901
0.269775,0.103455,0.635254
0.243896,0.095459,0.646606
0.231079,0.108582,0.637817
0.195312,0.106567,0.61499
0.189819,0.128174,0.615112
0.187378,0.126831,0.584351
0.195435,0.140381,0.567993
0.220703,0.145752,0.556763
0.24585,0.151123,0.545654
0.259033,0.141541,0.558228
0.272339,0.131958,0.570801
0.285522,0.122375,0.583374
0.298706,0.112793,0.596069
0.312012,0.10321,0.608643
0.334595,0.088623,0.612183
0.358643,0.092529,0.626587
0.35376,0.079346,0.661621
0.38147,0.065674,0.661621
0.395264,0.074402,0.690308
0.407959,0.067017,0.711182
0.420776,0.059631,0.732178
0.443726,0.069275,0.744385
0.46814,0.055969,0.75769
0.477295,0.059326,0.781372
0.490723,0.070618,0.797607
0.50415,0.081909,0.813721
0.509155,0.079651,0.836182
0.532837,0.09552,0.846802
0.540039,0.094543,0.865967
0.551758,0.115601,0.86499
0.550781,0.116943,0.87439
0.549805,0.118286,0.883789
0.548828,0.119629,0.893188
0.547729,0.120972,0.902466
0.546753,0.122314,0.911865
0.545776,0.123657,0.921265
0.544678,0.125,0.930664
0.543701,0.126343,0.940063
0.542725,0.127686,0.949463
0.541626,0.129028,0.95874
0.540649,0.130371,0.96814
0.516479,0.116638,0.95459
0.527466,0.139648,0.922852
0.516724,0.130371,0.904785
0.54541,0.12677,0.902954
0.556274,0.129089,0.908691
0.567261,0.131348,0.914307
0.578247,0.133667,0.920044
0.589111,0.135925,0.925659
0.600098,0.138184,0.931274
0.611084,0.140503,0.937012
0.62207,0.142761,0.942627
0.598633,0.142029,0.967651
0.575317,0.141357,0.992676
0.560303,0.131042,0.981323
0.548584,0.131348,0.950439
0.553345,0.151611,0.939331
0.536743,0.149841,0.915405
0.55542,0.151428,0.923462
0.574219,0.153015,0.931519
0.592896,0.154602,0.939575
0.796387,0.35614,0.898926
1.0,0.557617,0.858276
0.927124,0.590637,0.837036
0.835327,0.572266,0.880615
0.834351,0.563354,0.838867
0.83374,0.555115,0.812012
0.824951,0.563843,0.786987
0.817383,0.577209,0.777222
0.816284,0.592529,0.769043
0.810913,0.613708,0.769897
0.792236,0.613037,0.767456
0.77356,0.612366,0.765015
0.791626,0.635376,0.691528
0.746582,0.60083,0.726196
0.728394,0.601318,0.702271
0.738647,0.60907,0.682129
0.741333,0.632812,0.681274
0.726807,0.649048,0.697021
0.719482,0.649414,0.680542
0.712158,0.649719,0.664185
0.68396,0.654297,0.654053
0.678101,0.664246,0.628784
0.677979,0.65625,0.595947
0.657471,0.669556,0.611084
0.646973,0.683044,0.59375
0.641357,0.687256,0.584961
0.635742,0.691528,0.576172
0.612915,0.706604,0.569824
0.606812,0.698242,0.534302
0.59668,0.722778,0.535889
0.58374,0.728027,0.504761
0.571899,0.731445,0.505249
0.560059,0.734863,0.505737
0.539917,0.747437,0.477295
0.530029,0.723022,0.456055
0.525757,0.741516,0.438477
0.501221,0.735352,0.419678
0.494019,0.760437,0.422607
0.487183,0.76001,0.38208
0.488281,0.781921,0.4021
0.463379,0.791992,0.375854
0.548096,0.78302,0.36499
0.439331,0.812927,0.348999
0.447388,0.786072,0.343994
0.43811,0.816772,0.29834
0.410278,0.793701,0.30896
0.420288,0.802917,0.278809
0.40332,0.830078,0.304321
0.382324,0.838928,0.276123
0.37854,0.841675,0.259399
0.374878,0.844421,0.242798
0.354248,0.829895,0.256714
0.353394,0.8125,0.233032
0.335327,0.809692,0.213867
0.328491,0.829346,0.201538
0.306885,0.829651,0.177368
0.317505,0.852478,0.173706
0.299683,0.859253,0.150391
0.298218,0.883484,0.172729
0.288452,0.890869,0.140503
0.282959,0.894287,0.145386
0.277466,0.897644,0.150269
0.253906,0.8927,0.125732
0.250488,0.871704,0.107544
0.229858,0.910217,0.102661
0.221191,0.890259,0.067993
0.233521,0.910034,0.066528
0.212402,0.925598,0.064453
0.221436,0.941467,0.046509
0.203125,0.953003,0.055298
0.218872,0.970215,0.026123
0.180786,0.949463,0.014648
0.177734,0.9729,0.012573
0.161865,0.968262,-0.021729
0.148682,0.986084,-0.019409
0.119141,0.991333,-0.033447
0.106812,0.994263,-0.045532
0.094604,0.997253,-0.057617
0.129028,1.0,-0.096558
0.085693,0.987549,-0.089355
0.088989,0.992004,-0.098755
0.092285,0.996521,-0.108276
0.055054,0.975159,-0.096191
0.070312,0.956604,-0.100952
0.073242,0.968506,-0.132446
0.060669,0.964966,-0.132324
0.048096,0.961487,-0.132202
0.0354,0.958008,-0.13208
0.043945,0.93457,-0.148193
0.011963,0.934387,-0.162476
0.039429,0.924683,-0.19043
-0.008423,0.909851,-0.196777
0.013794,0.926514,-0.227173
-0.008545,0.923401,-0.233398
-0.030884,0.920288,-0.239746
-0.050537,0.907837,-0.231567
-0.046753,0.891846,-0.257446
-0.078857,0.908936,-0.268188
-0.087036,0.875854,-0.279297
-0.102417,0.896912,-0.294067
-0.116943,0.890198,-0.307251
-0.13147,0.883484,-0.320435
-0.134888,0.863281,-0.333374
-0.135742,0.85791,-0.363403
-0.174316,0.859375,-0.368286
-0.180298,0.838684,-0.36792
-0.205566,0.839172,-0.384766
-0.217163,0.832336,-0.399048
-0.228882,0.8255,-0.41333
-0.240601,0.818726,-0.427612
-0.253662,0.837219,-0.43335
-0.275024,0.810608,-0.454834
-0.295654,0.822815,-0.472656
-0.343994,0.809387,-0.462524
-0.363037,0.802368,-0.473389
-0.382202,0.79541,-0.484375
-0.401245,0.788391,-0.495239
-0.420288,0.781372,-0.506226
-0.439453,0.774414,-0.51709
-0.458496,0.767395,-0.527954
-0.477539,0.760376,-0.53894
-0.496704,0.753418,-0.549805
-0.515747,0.746399,-0.560791
-0.53479,0.739441,-0.571655
-0.553955,0.732422,-0.58252
-0.572998,0.725403,-0.593506
-0.592163,0.718445,-0.60437
-0.611206,0.711426,-0.615356
-0.630249,0.704468,-0.626221
-0.649414,0.697449,-0.637085
-0.668457,0.69043,-0.648071
-0.6875,0.683472,-0.658936
-0.706665,0.676453,-0.6698
-0.725708,0.669434,-0.680786
-0.744751,0.662476,-0.69165
-0.763916,0.655457,-0.702637
-0.782959,0.648499,-0.713501
-0.802124,0.641479,-0.724365
-0.821167,0.63446,-0.735352
-0.84021,0.627502,-0.746216
-0.859375,0.620483,-0.757202
-0.878418,0.613525,-0.768066
-0.897461,0.606506,-0.778931
-0.916626,0.599487,-0.789917
-0.957886,0.600891,-0.781616
-0.958984,0.567505,-0.80603
-0.983521,0.589417,-0.749512
-0.986816,0.595154,-0.752075
-0.990112,0.60083,-0.754639
-0.993408,0.606567,-0.75708
-0.996704,0.612244,-0.759644
-1.0,0.617981,-0.762207
-0.975464,0.610229,-0.764893
-0.950806,0.602478,-0.7677
-0.926147,0.594788,-0.770386
-0.901611,0.587036,-0.773193
-0.895752,0.579529,-0.752686
-0.871704,0.582214,-0.751099
-0.847534,0.5849,-0.749512
-0.823486,0.587585,-0.747925
-0.785156,0.585571,-0.778687
-0.763306,0.581055,-0.76416
-0.741455,0.576538,-0.749634
-0.694214,0.577637,-0.756348
-0.646973,0.578735,-0.763062
-0.694458,0.562622,-0.691895
-0.671875,0.553589,-0.679077
-0.658203,0.550537,-0.658203
-0.644653,0.547485,-0.637329
-0.590088,0.54126,-0.665527
-0.574341,0.539246,-0.622681
-0.594849,0.538025,-0.581909
-0.55249,0.52655,-0.609253
-0.527222,0.536316,-0.557007
-0.515015,0.514832,-0.56311
-0.505615,0.508667,-0.542969
-0.496338,0.502502,-0.522949
-0.463379,0.533325,-0.501587
-0.455688,0.517883,-0.463867
-0.455933,0.517395,-0.440308
-0.411255,0.513611,-0.451782
-0.392456,0.50885,-0.429565
-0.373535,0.504089,-0.407349
-0.368774,0.52948,-0.395142
-0.347046,0.510742,-0.376465
-0.331055,0.510742,-0.354248
-0.315186,0.510742,-0.332031
-0.296631,0.509216,-0.310303
-0.278076,0.507751,-0.288696
-0.261353,0.516663,-0.27356
-0.244629,0.525513,-0.258423
-0.230591,0.546021,-0.24292
-0.213623,0.543884,-0.224121
-0.196533,0.541748,-0.205322
-0.172852,0.530579,-0.178345
-0.167114,0.557556,-0.167358
-0.156494,0.55072,-0.12793
-0.140015,0.573608,-0.133057
-0.111206,0.561829,-0.086792
-0.137451,0.549622,-0.096558
-0.119263,0.52594,-0.082275
-0.125977,0.508728,-0.110718
-0.104736,0.494873,-0.088623
-0.104858,0.47644,-0.087891
-0.10498,0.458008,-0.087158
-0.120239,0.43512,-0.112183
-0.101074,0.418945,-0.085083
-0.108398,0.398804,-0.110474
-0.108643,0.381958,-0.088013
-0.12854,0.364319,-0.111206
-0.13623,0.345886,-0.078125
-0.107056,0.328491,-0.082642
-0.121582,0.310547,-0.107666
-0.109497,0.292175,-0.083862
-0.115112,0.27124,-0.087524
-0.127686,0.253479,-0.0625
-0.108154,0.236633,-0.077637
-0.129028,0.217346,-0.08728
-0.149414,0.19989,-0.056274
-0.113892,0.185486,-0.086914
-0.120605,0.166931,-0.085083
-0.118164,0.149597,-0.083496
-0.115845,0.132263,-0.081787
-0.106567,0.118896,-0.048584
-0.124634,0.098511,-0.060303
-0.099487,0.085632,-0.04541
-0.111328,0.056702,-0.064819
-0.115967,0.045776,-0.067139
-0.120728,0.034851,-0.069458
-0.147949,0.027954,-0.03772
-0.175293,0.021057,-0.006104
-0.207153,0.010498,-0.006958
-0.239014,0.0,-0.00769
-0.237549,0.02655,-0.026245
-0.242798,0.01886,-0.04541
-0.234863,0.030273,-0.034424
-0.226929,0.041748,-0.023438
-0.218994,0.053162,-0.012451
-0.220337,0.064636,-0.009521
-0.22168,0.07605,-0.00647
-0.223022,0.087524,-0.003418
-0.224365,0.098999,-0.000488
-0.225708,0.110474,0.002563
-0.227173,0.121948,0.005615
-0.228516,0.133362,0.008545
-0.229858,0.144836,0.011597
-0.231201,0.156311,0.014526
-0.232544,0.167786,0.017578
-0.233887,0.17926,0.02063
-0.235229,0.190674,0.02356
-0.236572,0.202148,0.026611
-0.223145,0.211182,-0.011963
-0.29126,0.196106,0.003296
-0.283325,0.179565,0.007935
-0.275269,0.163086,0.012573
-0.267334,0.146606,0.017212
-0.259399,0.130127,0.021729
-0.261841,0.145386,0.025269
-0.264282,0.160583,0.028809
-0.266724,0.175842,0.032349
-0.269165,0.19104,0.035889
-0.271606,0.206299,0.039429
-0.270996,0.193115,0.037598
-0.270386,0.179993,0.035645
-0.269775,0.16687,0.033813
-0.269287,0.153687,0.031982
-0.268677,0.140564,0.030029
-0.267822,0.154175,0.064575
-0.279419,0.166016,0.062622
-0.291016,0.177795,0.060547
-0.302612,0.189636,0.058594
-0.314209,0.201477,0.056641
-0.321411,0.189331,0.039062
-0.319336,0.174133,0.050049
-0.317261,0.158997,0.060913
-0.315186,0.14386,0.071777
-0.313354,0.156189,0.081177
-0.311646,0.168579,0.090576
-0.309814,0.180969,0.099976
-0.320068,0.195007,0.086426
-0.330322,0.209045,0.072754
-0.327881,0.194946,0.072266
-0.325439,0.180786,0.071655
-0.322998,0.166687,0.071167
-0.320557,0.152588,0.070557
-0.303589,0.153931,0.089722
-0.279175,0.171387,0.079346
-0.287354,0.190857,0.081177
-0.266479,0.199524,0.063599
-0.245483,0.20813,0.045898
-0.249268,0.21936,0.030029
-0.241333,0.226929,0.00769
-0.236572,0.231262,-0.015259
-0.262939,0.240356,-0.037476
-0.251831,0.234863,-0.035889
-0.240601,0.22937,-0.034302
-0.229492,0.223877,-0.032715
-0.221313,0.226746,-0.011719
-0.213135,0.229675,0.009155
-0.219727,0.242981,-0.00769
-0.219727,0.242981,-0.00769
